a	a
curés            cur
curieuse         curieux
curieusement         curieux
curieuses        curieux
curieux          curieux
curiosité        curios
custom           custom
cuves            cuv
cuvette          cuvet
cygne            cygn
cymbales         cymbal
cynique          cyniqu
cyr              cyr
d        d
da               da
dague            dagu
daigna           daign
daignaient         daign
daignait         daign
daignant         daign
daignât          daign
daigne           daign
daigné           daign
daignent         daignent
daigner          daign
daignera         daign
daignerait         daign
daignèrent         daign
daignerez        daign
daignez          daign
daily            daily
daim             daim
dais             dais
dakota           dakot
dalles           dall
dalliance        dallianc
dalmate          dalmat
damas            dam
damasquinés        damasquin
dame             dam
dames            dam
damné            damn
damnée           damn
damnent          damnent
damnés           damn
dandin           dandin
dandinant        dandin
dandy            dandy
dandys           dandy
danger           dang
dangereuse         danger
dangereusement        danger
dangereuses        danger
dangereux        danger
dangers          danger
dans             dan
dansa            dans
dansaient        dans
dansait          dans
dansant          dans
danse            dans
dansé            dans
dansent          dansent
danser           dans
dansèrent        dans
danses           dans
danseuses        danseux
dante            dant
danton           danton
darkness         darkness
data             dat
datait           dat
date             dat
daté             dat
datée            dat
datées           dat
dates            dat
dattiers         datti
davantage        davantag
davenport        davenport
davide           david
day              day
days             day
de               de
dé               dé
débarqua         débarqu
débarquaient         débarqu
débarquait         débarqu
débarquant         débarqu
débarque         débarqu
débarqué         débarqu
débarquement         débarqu
débarquer        débarqu
débarquèrent         débarqu
débarrassé         débarrass
débarrassée        débarrass
débarrasser        débarrass
débarrassés        débarrass
débarrassez        débarrass
débat            débat
débats           débat
débattait        débatt
débattant        débatt
débattrais         débattr
débattre         débattr
débattue         débattu
débauche         débauch
debile           debil
débit            deb
débita           débit
débitaient         débit
débitant         débit
débite           débit
débitées         débit
débiter          débit
débiteur         débiteur
débonnaireté         débonnairet
débordait        débord
débordé          débord
déborder         débord
débouchaient         débouch
débouche         débouch
déboucher        débouch
déboursé         débours
debout           debout
débrider         débrid
débris           debr
débrouillée        débrouill
débrouiller        débrouill
début            début
débuta           début
débute           début
débuté           début
débuter          début
décachetait        décachet
décachetée         décachet
décachetées        décachet
décadence        décadent
décampa          décamp
décampe          décamp
décampé          décamp
décamper         décamp
décampons        décampon
décapité         décap
décelât          décel
décembre         décembr
décemment        décent
décence          décenc
décent           décent
décente          décent
décents          décent
déceptions         décept
décès            déces
déchaînait         déchaîn
déchaînât        déchaîn
déchaînement         déchaîn
déchaîner        déchaîn
décharge         décharg
déchargement         décharg
décharger        décharg
décharges        décharg
déchira          dech
déchiraient        dech
déchirait        dech
déchirant        déchir
déchire          déchir
déchiré          déchir
déchirée         déchir
déchirées        déchir
déchirements         déchir
déchirer         déchir
déchirés         déchir
déchirures         déchirur
déchoir          déchoir
déchu            déchu
décida           décid
décidaient         décid
décidait         décid
décidant         décid
décide           décid
décidé           décid
décidée          décid
décidées         décid
décidément         décid
décident         décident
décider          décid
décidera         décid
déciderait         décid
décidèrent         décid
déciderez        décid
décimus          décimus
décisif          décis
décision         décis
décisions        décis
décisive         décis
décius           décius
déclamer         déclam
déclara          déclar
déclarait        déclar
déclarant        déclar
déclaration        déclar
déclarations         déclar
déclare          déclar
déclaré          déclar
déclarée         déclar
déclarer         déclar
déclarerait        déclar
déclarèrent        déclar
déclarés         déclar
déclarez         déclar
déclassés        déclass
décoloré         décolor
décolorée        décolor
décolorées         décolor
décomposition        décomposit
déconcerta         déconcert
déconcertait         déconcert
déconcerté         déconcert
déconcertée        déconcert
déconcerter        déconcert
déconcertés        déconcert
déconfit         déconf
décontenancé         décontenanc
déconvenues        déconvenu
décorateur         décor
décoration         décor
décore           décor
décoré           décor
décorée          décor
décorum          décorum
découchait         découch
découpait        découp
découpant        découp
découpés         découp
découragé        décourag
découragement        décourag
découragements        décourag
décourager         décourag
décousus         décousus
découvert        découvert
découverte         découvert
découvertes        découvert
découverts         découvert
découvrait         découvr
découvrant         découvr
découvre         découvr
découvrir        découvr
découvrira         découvr
découvrirent         découvr
découvrit        découvr
décrépitude        décrépitud
décret           décret
décrets          décret
décrire          décrir
décrit           decr
décrivaient        décriv
décrivait        décriv
décrivant        décriv
décrocha         décroch
dédaignant         dédaign
dédaignée        dédaign
dédaigneuse        dédaign
dédaigneux         dédaign
dédain           dédain
dédains          dédain
dedans           dedan
dédommageait         dédommag
dédommagement        dédommag
dédommagent        dédommagent
dédommagerez         dédommag
déduire          déduir
déduisit         déduis
deem             deem
deeper           deep
déesse           déess
défaillante        défaill
défaillir        défaill
défaire          défair
défais           def
défaisait        défais
défait           def
défaite          défait
défaites         défait
défasse          def
défaut           défaut
défauts          défaut
défaveur         défaveur
défavorable        défavor
défection        défect
défend           défend
défendaient        défend
défendait        défend
défendant        défend
défende          défend
défendent        défendent
défendez         défend
défendit         défend
défendons        défendon
défendre         défendr
défends          défend
défendu          défendu
défendue         défendu
défendues        défendu
défense          défens
défenses         défens
défenseurs         défenseur
défensive        défens
déferai          def
déférence        déférent
défiait          défi
défiance         défianc
défiant          défi
défie            def
défigurait         défigur
défiguré         défigur
défila           défil
défilé           défil
défiler          défil
défilés          défil
définissable         définiss
définitive         définit
définitivement        définit
défit            def
défoncèrent        défonc
défroque         défroqu
défunt           défunt
dégagé           dégag
dégagea          dégag
dégagée          dégag
dégagement         dégag
dégager          dégag
dégât            deg
dégénéré         dégéner
dégoût           dégoût
dégoûtant        dégoût
dégoûtante         dégoût
dégoûté          dégoût
dégoûtée         dégoût
dégradée         dégrad
dégradent        dégradent
dégrader         dégrad
degré            degr
degrés           degr
dégrisa          dégris
déguenillée        déguenill
déguerpir        déguerp
déguisa          déguis
déguisait        déguis
déguise          déguis
déguisé          déguis
déguisée         déguis
déguisement        déguis
déguiser         déguis
déguisèrent        déguis
déguisés         déguis
dehors           dehor
déj�              déj� 
déjetées         déjet
déjeuna          déjeun
déjeunait        déjeun
déjeunant        déjeun
déjeuné          déjeun
déjeuner         déjeun
déjeunèrent        déjeun
déjeunons        déjeunon
déjouer          déjou
déjoués          déjou
del              del
del�              del� 
délabré          délabr
délabrée         délabr
délabrement        délabr
délai            del
délais           del
délaissé         délaiss
délasser         délass
délations        délat
delavigne        delavign
délayé           délai
délégation         déleg
délibéra         déliber
délibération         déliber
délibérer        déliber
délibérons         délibéron
délicat          délicat
délicate         délicat
délicates        délicat
délicatesse        délicatess
délicats         délicat
délices          délic
délicieuse         délici
délicieusement        délici
délicieuses        délici
délicieux        délici
délier           déli
delille          delill
délire           délir
délit            del
délivra          délivr
délivrance         délivr
délivre          délivr
délivré          délivr
délivrée         délivr
délivrer         délivr
délivrera        délivr
dell             del
della            del
demain           demain
demanda          demand
demandai         demand
demandaient        demand
demandais        demand
demandait        demand
demandant        demand
demande          demand
demandé          demand
demandée         demand
demandées        demand
demander         demand
demandera        demand
demanderai         demand
demanderaient        demand
demanderait        demand
demandèrent        demand
demanderont        demand
demandes         demand
demandés         demand
demandez         demand
demandiez        demand
demandons        demandon
démantelé        démantel
démarche         démarch
démarches        démarch
démarquer        démarqu
démasquer        démasqu
démêloir         démêloir
déménager        déménag
démenaient         démen
démenait         démen
démenti          dément
démentir         dément
démentis         dément
démesurée        démesur
demesurement         demesur
démesurément         démesur
demeura          demeur
demeurait        demeur
demeure          demeur
demeuré          demeur
demeurer         demeur
demeurerait        demeur
demeurèrent        demeur
demeurés         demeur
demi             dem
demie            dem
démission        démiss
démit            dem
demoiselle         demoisel
demoiselles        demoisel
démolir          démol
démolissent        démol
démolition         démolit
démon            démon
démonstration        démonstr
démonté          démont
démontée         démont
démonter         démont
démontés         démont
démontra         démontr
démontrait         démontr
démontré         démontr
dénaturée        dénatur
deniers          deni
dénigrement        dénigr
dénomination         dénomin
dénonçait        dénonc
dénonce          dénonc
dénoncé          dénonc
dénoncer         dénonc
dénoncera        dénonc
dénoncez         dénonc
dénonciateur         dénonci
dénonciation         dénonci
dénonciations        dénonci
dénotaient         dénot
dénotait         dénot
dénoter          dénot
dénouement         dénou
dénoûment        dénoû
densité          densit
dent             dent
dentelle         dentel
dentelles        dentel
dents            dent
dénué            dénu
dénuées          dénu
denver           denv
deo              deo
déparait         dépar
déparant         dépar
déparée          dépar
dépareillé         dépareil
départ           départ
département        départ
dépassaient        dépass
dépassait        dépass
dépasse          dep
dépassé          dépass
dépassées        dépass
dépasser         dépass
dépassés         dépass
dépêcha          dépêch
dépêche          dépêch
dépêché          dépêch
dépêches         dépêch
dépêchez         dépêch
dépêchons        dépêchon
dépeint          dépeint
dépeintes        dépeint
dépenaillé         dépenaill
dépend           dépend
dépendait        dépend
dépendance         dépend
dépendant        dépend
dépendre         dépendr
dépendu          dépendu
dépens           dépen
dépensait        dépens
dépense          dépens
dépensé          dépens
dépensées        dépens
dépenser         dépens
dépenses         dépens
dépérir          déper
dépeuplèrent         dépeupl
dépisté          dépist
dépistées        dépist
dépister         dépist
dépit            dep
dépitée          dépit
déplaçait        déplac
déplace          déplac
déplacé          déplac
déplacées        déplac
déplacement        déplac
déplairais         déplair
déplaire         déplair
déplairez        déplair
déplaisait         déplais
déplaise         déplais
déplaisent         déplaisent
déplaisir        déplais
déplaît          déplaît
dépliage         dépliag
déploie          déploi
déploierais        déploi
déplorable         déplor
déplorables        déplor
déplorait        déplor
déploré          déplor
déploya          déploi
déployaient        déploi
déployé          déploi
déployée         déploi
déployer         déploi
déplu            déplu
déplut           déplut
déporta          déport
déportés         déport
déposa           dépos
déposait         dépos
déposant         dépos
déposât          dépos
dépose           dépos
déposé           dépos
déposée          dépos
déposées         dépos
déposer          dépos
déposèrent         dépos
déposés          dépos
dépositaire        dépositair
déposition         déposit
dépositions        déposit
dépossédé        dépossed
dépôt            dépôt
dépôts           dépôt
dépouillait        dépouill
dépouille        dépouill
dépouillé        dépouill
dépouiller         dépouill
dépourvu         dépourvu
dépression         dépress
dépressions        dépress
déprimée         déprim
depuis           depuis
députation         déput
député           déput
députés          déput
déraillement         déraill
déraillements        déraill
déraison         déraison
déraisonnable        déraison
déraisonnables        déraison
déraisonner        déraison
dérangé          dérang
dérangeait         dérang
dérangements         dérang
déranger         dérang
dérangés         dérang
derechef         derechef
déridait         dérid
dérision         déris
dernier          derni
dernière         derni
dernieres        dernier
dernières        derni
derniers         derni
dérobaient         dérob
dérobé           dérob
dérobée          dérob
dérober          dérob
déroberait         dérob
déroger          dérog
déroula          déroul
déroulant        déroul
déroulèrent        déroul
déroute          dérout
derrière         derri
derville         dervill
des              de
dès              des
désabusé         désabus
désagréable        désagré
désagréablement               désagré
désagréables         désagré
désagrément        désagr
désagréments         désagr
desaix           desaix
désaltéré        désalter
désappointé        désappoint
désappointement               désappoint
désapprouver         désapprouv
désarmé          désarm
désarmer         désarm
désastre         désastr
désastres        désastr
désavantage        désavantag
désavantages         désavantag
désavoue         désavou
desceller        descel
descend          descend
descendaient         descend
descendait         descend
descendant         descend
descendante        descend
descendants        descend
descende         descend
descendent         descendent
descendirent         descend
descendit        descend
descendrait        descendr
descendre        descendr
descendrez         descendr
descends         descend
descendu         descendu
descendue        descendu
descendus        descendus
descente         descent
descoulis        descoul
description        descript
descriptions         descript
désennuyait        désennui
désennuyer         désennui
désert           désert
désertais        désert
déserte          désert
déserté          désert
déserter         désert
désertes         désert
déserteur        déserteur
désertez         désert
désertion        désert
désespérais        désesper
désespérait        désesper
désespérant        désesper
désespérante         désesper
désespérants         désesper
désespère        désesper
désespéré        désesper
désespérée         désesper
désespérer         désesper
désespoir        désespoir
déshabillaient        déshabill
déshabiller        déshabill
déshonneur         déshonneur
déshonorait        déshonor
déshonorant        déshonor
déshonorante         déshonor
déshonore        déshonor
déshonoré        déshonor
déshonorée         déshonor
déshonorent        déshonorent
déshonorer         déshonor
déshonorez         déshonor
désignant        désign
désigne          désign
désigné          désign
désigner         désign
désignèrent        désign
désignés         désign
désignez         désign
désintéresse         désintéress
désintéressé         désintéress
désintéressées        désintéress
désintéressement              désintéress
désintérêt         désintérêt
désir            des
désira           des
désirable        désir
désirait         des
désire           désir
désiré           désir
désirée          désir
désirées         désir
désirent         des
désirer          désir
désirerais         désir
désirez          des
désirs           désir
désobéi          désobéi
désobéissante        désobéiss
désoblige        désoblig
désobligeante        désoblig
désobligeants        désoblig
désoeuvrement        désoeuvr
désolait         désol
désolant         désol
désolation         désol
désole           désol
désolé           désol
désolée          désol
désordonnée        désordon
désordonnés        désordon
désordre         désordr
désorienté         désorient
désormais        désorm
despote          despot
despotes         despot
despotique         despot
despotiquement        despot
despotiques        despot
despotisme         despot
despotismes        despot
desquelles         desquel
desquels         desquel
desséchant         dessech
desséché         dessech
desséchée        dessech
dessein          dessein
desseins         dessein
dessert          dessert
desservait         desserv
desservant         desserv
desservi         desserv
dessiller        dessill
dessillèrent         dessill
dessin           dessin
dessina          dessin
dessinaient        dessin
dessinait        dessin
dessine          dessin
dessiné          dessin
dessinent        dessinent
dessiner         dessin
dessins          dessin
dessous          dessous
dessus           dessus
destin           destin
destinait        destin
destination        destin
destine          destin
destiné          destin
destinée         destin
destinées        destin
destinés         destin
destins          destin
destitua         destitu
destitué         destitu
destituer        destitu
destituera         destitu
destituerai        destitu
destitution        destitu
désunir          désun
détacha          détach
détachaient        détach
détachait        détach
détachant        détach
détache          détach
détaché          détach
détachée         détach
détachées        détach
détachement        détach
détacher         détach
détachèrent        détach
détail           détail
détailla         détaill
détaillant         détaill
détaille         détaill
détaillé         détaill
détaillée        détaill
détaillées         détaill
détailler        détaill
détails          détail
détaler          détal
détective        détect
détectives         détect
détendu          détendu
détendue         détendu
détendus         détendus
détente          détent
détention        détent
détenus          détenus
détermina        détermin
déterminaient        détermin
déterminait        détermin
déterminât         détermin
détermination        détermin
déterminations        détermin
déterminé        détermin
déterminées        détermin
déterminer         détermin
déterminera        détermin
déterrer         déterr
détestable         détest
détestables        détest
détestaient        détest
détestait        détest
déteste          détest
détesté          détest
détestent        détestent
détester         détest
détesterez         détest
détonation         déton
détonations        déton
détour           détour
détourna         détourn
détournaient         détourn
détourné         détourn
détours          détour
détraquer        détraqu
détresse         détress
détriment        detr
détroit          détroit
détrompé         détromp
détruire         détruir
détruisaient         détruis
détruisit        détruis
détruit          détruit
détruites        détruit
détruits         détruit
dette            det
dettes           det
deuil            deuil
deuils           deuil
deum             deum
deux             deux
deuxième         deuxiem
devaient         dev
devais           dev
devait           dev
devançant        devanc
devancer         devanc
devant           dev
devants          dev
développa        développ
développaient        développ
développait        développ
développée         développ
développement        développ
devenaient         deven
devenais         deven
devenait         deven
devenant         deven
devenez          deven
devenir          deven
devenu           devenu
devenue          devenu
devenus          devenus
déverse          dévers
déverser         dévers
devez            dev
deviendra        deviendr
deviendrai         deviendr
deviendraient        deviendr
deviendrais        deviendr
deviendrait        deviendr
deviendrez         deviendr
deviendriez        deviendr
deviennent         deviennent
deviens          devien
devient          devient
deviez           dev
devina           devin
devinait         devin
devinant         devin
devine           devin
deviné           devin
devinée          devin
devinées         devin
deviner          devin
devinera         devin
devinerait         devin
devineront         devin
devines          devin
devinez          devin
devînmes         devînm
devinrent        devinrent
devins           devin
devint           devint
devis            dev
dévisageait        dévisag
dévisager        dévisag
dévisser         déviss
devo             devo
dévoilé          dévoil
devoir           devoir
devoirs          devoir
devons           devon
dévora           dévor
dévoraient         dévor
dévorait         dévor
dévorante        dévor
dévorât          dévor
dévore           dévor
dévoré           dévor
dévorée          dévor
dévorer          dévor
dévoreront         dévor
dévorés          dévor
devoret          devoret
dévorez          dévor
dévot            dévot
dévote           dévot
dévotement         dévot
dévotes          dévot
dévotion         dévot
dévots           dévot
dévoué           dévou
dévouée          dévou
dévouement         dévou
dévouements        dévou
dévouer          dévou
dévoués          dévou
devra            devr
devrai           devr
devraient        devr
devrais          devr
devrait          devr
devriez          devr
devrons          devron
devront          devront
di               di
diable           diabl
diables          diabl
diacre           diacr
dialogue         dialogu
dialogues        dialogu
diamant          diam
diamanté         diamant
diamants         diam
diane            dian
diar             diar
dicta            dict
dictait          dict
dictateur        dictateur
dicté            dict
dictée           dict
dictées          dict
dicter           dict
dictés           dict
diction          diction
dictionnaire         dictionnair
dicton           dicton
diderot          diderot
didon            didon
diego            diego
diègue           diègu
dieu             dieu
dieux            dieux
différence         différent
différences        différent
différend        différend
différends         différend
différent        différent
diffèrent        diff
différente         différent
différentes        différent
différents         différent
différer         differ
difficile        difficil
difficilement        difficil
difficiles         difficil
difficulté         difficult
difficultés        difficult
difficultueux        difficultu
difforme         difform
digère           diger
digne            dign
dignement        dign
dignes           dign
dignité          dignit
dignités         dignit
digue            digu
dijon            dijon
dilettanti         dilettant
diligence        diligent
diligente        diligent
dimanche         dimanch
dimanches        dimanch
dîme             dîm
dimension        dimens
dimensions         dimens
diminua          diminu
diminuaient        diminu
diminuait        diminu
diminuant        diminu
diminue          diminu
diminué          diminu
diminuée         diminu
diminuer         diminu
diminution         diminu
dîna             dîn
dînait           dîn
dînant           dîn
dindon           dindon
dîné             dîn
dînée            dîn
dînées           dîn
dînent           dînent
dîner            dîn
dînerai          dîn
dînerait         dîn
dînèrent         dîn
dîners           dîner
diocèse          dioces
diplomate        diplomat
diplomates         diplomat
diplomatie         diplomat
diplomatique         diplomat
diplomatiquement              diplomat
diplomatiques        diplomat
dira             dir
dirai            dir
diraient         dir
dirais           dir
dirait           dir
diras            dir
dire             dir
direct           direct
directe          direct
directement        direct
directes         direct
directeur        directeur
direction        direct
directions         direct
directoire         directoir
directs          direct
dirent           dirent
direz            dir
dirige           dirig
dirigé           dirig
dirigea          dirig
dirigeait        dirig
dirigeant        dirig
dirigeante         dirig
dirigée          dirig
dirigées         dirig
dirigent         dirigent
diriger          dirig
dirigerait         dirig
dirigèrent         dirig
dirigés          dirig
dirigez          dirig
dirions          dirion
dirons           diron
diront           diront
dis              dis
disaient         dis
disais           dis
disait           dis
disant           dis
disc             disc
discerna         discern
disciple         discipl
disciples        discipl
discontinuaient               discontinu
discontinuer         discontinu
disconvenir        disconven
discordant         discord
discours         discour
discret          discret
discrète         discret
discrétion         discret
discrets         discret
discussion         discuss
discussions        discuss
discuta          discut
discutaient        discut
discutait        discut
discutant        discut
discute          discut
discutée         discut
discuter         discut
discutèrent        discut
discutés         discut
dise             dis
disent           disent
disgrâce         disgrâc
disgracie        disgrac
disgracié        disgraci
disgracierez         disgraci
disinvoltura         disinvoltur
disloqué         disloqu
disparaissaient               disparaiss
disparaissait        disparaiss
disparaissent        disparaissent
disparaît        disparaît
disparaître        disparaîtr
disparition        disparit
disparu          disparu
disparurent        disparurent
disparussent         disparussent
disparut         disparut
dispendieuses        dispendi
dispensé         dispens
dispenser        dispens
dispersaient         dispers
dispersés        dispers
dispos           dispos
disposa          dispos
disposaient        dispos
disposait        dispos
dispose          dispos
disposé          dispos
disposée         dispos
disposées        dispos
disposer         dispos
disposés         dispos
disposez         dispos
disposition        disposit
dispositions         disposit
disposons        disposon
disproportion        disproport
disputa          disput
disputaient        disput
disputait        disput
dispute          disput
disputer         disput
disputèrent        disput
disputons        disputon
disque           disqu
dissembles         dissembl
dissent          dissent
disséquée        dissequ
dissertation         dissert
dissertations        dissert
disserte         dissert
dissimulaient        dissimul
dissimulait        dissimul
dissimulant        dissimul
dissimule        dissimul
dissimulée         dissimul
dissimuler         dissimul
dissimulerai         dissimul
dissimulerons        dissimul
dissimulons        dissimulon
dissipait        dissip
dissipation        dissip
dissipations         dissip
dissipé          dissip
dissipée         dissip
dissipées        dissip
dissiper         dissip
dissipèrent        dissip
dissolution        dissolu
distance         distanc
distancé         distanc
distances        distanc
distant          dist
distillée        distill
distinctement        distinct
distinctes         distinct
distinction        distinct
distinctions         distinct
distincts        distinct
distinguaient        distingu
distinguait        distingu
distinguant        distingu
distingue        distingu
distingué        distingu
distinguée         distingu
distinguées        distingu
distinguer         distingu
distingués         distingu
distinguons        distinguon
distraction        distract
distractions         distract
distrairait        distrair
distraire        distrair
distrait         distr
distraite        distrait
distraites         distrait
distrayaient         distrai
distrayait         distrai
distribua        distribu
distribuait        distribu
distribue        distribu
distribué        distribu
distribuent        distribuent
distribuer         distribu
distribuez         distribu
distribution         distribu
distributions        distribu
distributive         distribut
dit              dit
dît              dît
dite             dit
dites            dit
dithyrambe         dithyramb
dits             dit
diurne           diurn
divan            divan
divers           diver
diverses         divers
diversion        divers
divertir         divert
divertissant         divert
divertissements               divert
divin            divin
divine           divin
divinité         divin
divins           divin
divisa           divis
divisait         divis
divise           divis
divisé           divis
divisée          divis
divisées         divis
divisèrent         divis
divisés          divis
division         divis
divisions        divis
divulguer        divulgu
dix              dix
dixerunt         dixerunt
dixième          dixiem
dizaine          dizain
do               do
docilité         docil
docks            dock
docteur          docteur
doctrine         doctrin
doctrines        doctrin
document         docu
documents        docu
dodge            dodg
doge             dog
dogmatiquement        dogmat
dogme            dogm
doigt            doigt
doigts           doigt
dois             dois
doit             doit
doivent          doivent
dolci            dolc
dôle             dôl
doléances        doléanc
dollar           dollar
dollars          dollar
dolman           dolman
domaine          domain
domaniale        domanial
dôme             dôm
domesticité        domest
domestique         domest
domestiqué         domestiqu
domestiques        domest
domicile         domicil
domina           domin
dominaient         domin
dominait         domin
dominant         domin
dominante        domin
dominateur         domin
domination         domin
domine           domin
dominé           domin
dominée          domin
domingue         domingu
domini           domin
dommage          dommag
dommages         dommag
dompté           dompt
dompter          dompt
don              don
donation         donat
donc             donc
dongo            dongo
donjon           donjon
donna            don
donnai           don
donnaient        don
donnait          don
donnant          don
donnassent         don
donnât           don
donnâtes         don
donne            don
donné            don
donnée           don
données          don
donnent          donnent
donner           don
donnera          don
donnerai         don
donneraient        don
donnerais        don
donnerait        don
donneras         don
donnèrent        don
donnerez         don
donneriez        don
donneront        don
donnes           don
donnés           don
donneur          donneur
donnez           don
donnions         donnion
donnons          donnon
dont             dont
dorat            dorat
doré             dor
dorée            dor
dorées           dor
dorénavant         dorénav
dorés            dor
dormaient        dorm
dormait          dorm
dormantes        dorm
dormeurs         dormeur
dormi            dorm
dormir           dorm
dormirai         dorm
dormit           dorm
dormît           dorm
dort             dort
dortoir          dortoir
dortoirs         dortoir
dorures          dorur
dos              dos
dose             dos
dossier          dossi
dossiers         dossi
dot              dot
douaire          douair
douairière         douairi
douane           douan
douanier         douani
douaniers        douani
doubla           doubl
doublant         doubl
double           doubl
doublé           doubl
doublée          doubl
doublement         doubl
doubler          doubl
doubles          doubl
doublure         doublur
doubs            doub
doubt            doubt
douce            douc
doucement        douc
douces           douc
douceur          douceur
douceurs         douceur
doué             dou
douée            dou
doués            dou
douleur          douleur
douleurs         douleur
douloureuse        doulour
douloureuses         doulour
douloureux         doulour
douta            dout
doutait          dout
doutât           dout
doute            dout
douté            dout
doutée           dout
douter           dout
douterez         dout
doutes           dout
douteuse         douteux
douteuses        douteux
douteux          douteux
doutez           dout
douvres          douvr
doux             doux
douzaine         douzain
douzaines        douzain
douze            douz
doyen            doyen
dragon           dragon
dragons          dragon
dramatique         dramat
dramatiques        dramat
drame            dram
drap             drap
drapeau          drapeau
drapeaux         drapeau
drapée           drap
drapier          drapi
draps            drap
drawing          drawing
dressaient         dress
dressait         dress
dresse           dress
dressé           dress
dressée          dress
dresser          dress
dressés          dress
drisses          driss
drogue           drogu
drogues          drogu
droit            droit
droite           droit
droites          droit
droits           droit
droiture         droitur
drôle            drôl
drôles           drôl
drome            drom
dromes           drom
du               du
dû               dû
dublin           dublin
dubois           dubois
duc              duc
ducats           ducat
duché            duch
duchesse         duchess
duchesses        duchess
ducrest          ducrest
ducros           ducros
ducs             duc
dudit            dud
due              du
duel             duel
duellistes         duellist
duettino         duettino
dugnani          dugnan
dûment           dûment
dunette          dunet
dupe             dup
duperie          duper
dupes            dup
duplicité        dupliqu
duquel           duquel
dur              dur
dura             dur
durable          durabl
durables         durabl
duraient         dur
durait           dur
durand           durand
durant           dur
durât            dur
durati           durat
durcie           durc
dure             dur
duré             dur
durée            dur
durement         dur
durent           durent
durer            dur
durera           dur
dureraient         dur
durerait         dur
dureront         dur
dures            dur
dureté           duret
durini           durin
durs             dur
dus              dus
dussé            duss
dut              dut
dût              dût
duvoisin         duvoisin
e        e
è        è
earnshaw         earnshaw
eastern          eastern
eau              eau
eaux             eau
ébahi            ébah
ébahie           ébah
ébahis           ébah
ébahissement         ébah
ébattre          ébattr
ébaucha          ébauch
ébaudissait        ébaud
ébène            ében
ébloui           éblou
éblouissant        éblou
éblouissante         éblou
éblouissement        éblou
éblouit          éblou
ébouriffé        ébouriff
ébouriffée         ébouriff
ébranla          ébranl
ébranlaient        ébranl
ébranlant        ébranl
ébranlé          ébranl
ébranlée         ébranl
ébranler         ébranl
ébréché          ébrech
ébruité          ébruit
écailles         écaill
écarlate         écarlat
écarquillés        écarquill
écart            écart
écartaient         écart
écartait         écart
écartant         écart
écarte           écart
écarté           écart
écartée          écart
écartées         écart
écartelé         écartel
écarter          écart
eccellenza         eccellenz
ecclesiam        ecclesiam
ecclésiastique        ecclésiast
ecclésiastiques               ecclésiast
écervelés        écervel
échafaud         échafaud
échange          échang
échangé          échang
échangeaient         échang
échangeant         échang
échangée         échang
échangées        échang
échanger         échang
échangés         échang
échantillons         échantillon
échappa          échapp
échappaient        échapp
échappait        échapp
échappe          échapp
échappé          échapp
échappée         échapp
échappées        échapp
échappement        échapp
échapper         échapp
échapperait        échapp
échappés         échapp
échappons        échappon
écharpe          écharp
échauffant         échauff
échauffer        échauff
échéant          éché
échec            échec
échecs           échec
échelle          échel
échelles         échel
échelon          échelon
échelons         échelon
échevelé         échevel
echiquier        echiqui
échiquiers         échiqui
échoiront        échoiront
échoppe          échopp
échouait         échou
échoue           échou
échoué           échou
échouer          échou
échoueraient         échou
échus            échus
échut            échut
éclair           éclair
éclairaient        éclair
éclairait        éclair
éclairant        éclair
éclaircies         éclairc
éclaircir        éclairc
éclaircirent         éclairc
éclaircissant        éclairc
éclaircissement               éclairc
éclaircissent        éclairc
éclaircit        éclairc
éclairé          éclair
éclairée         éclair
éclairer         éclair
éclairèrent        éclair
éclairés         éclair
éclairs          éclair
éclat            éclat
éclata           éclat
éclataient         éclat
éclatait         éclat
éclatant         éclat
éclatante        éclat
éclatantes         éclat
éclatants        éclat
éclate           éclat
éclaté           éclat
éclatent         éclatent
éclater          éclat
éclatèrent         éclat
éclats           éclat
éclipsait        éclips
éclipse          éclips
éclipses         éclips
éclipsés         éclips
école            écol
écolier          écoli
éconduire        éconduir
éconduit         éconduit
économe          économ
économes         économ
économie         économ
économies        économ
économise        économis
économisées        économis
économiser         économis
économisés         économis
écorcha          écorch
écorchaient        écorch
écorchait        écorch
écorché          écorch
écorchée         écorch
écorcher         écorch
écorchures         écorchur
écorné           écorn
écossaise        écossais
écoula           écoul
écoulaient         écoul
écoulant         écoul
écoulé           écoul
écoulée          écoul
écoulement         écoul
écoulent         écoulent
écouler          écoul
écoulèrent         écoul
écoulés          écoul
écouta           écout
écoutaient         écout
écoutais         écout
écoutait         écout
écoutant         écout
écoute           écout
écouté           écout
écoutée          écout
écoutent         écoutent
écouter          écout
écouterai        écout
écouteront         écout
écoutes          écout
écoutés          écout
ecoutez          ecout
écoutez          écout
écoutiez         écout
écrasaient         écras
écrasé           écras
écrasée          écras
écrasées         écras
écraser          écras
écria            écri
écriaient        écri
écriait          écri
écriant          écri
écrie            écri
écrié            écri
écriée           écri
écrient          écrient
écrier           écri
écrièrent        écri
écrin            écrin
écrira           écrir
écrirai          écrir
écrirais         écrir
écrirait         écrir
écrire           écrir
écrirez          écrir
écris            écris
écrit            écrit
écrite           écrit
écriteau         écriteau
écrites          écrit
écritoire        écritoir
écrits           écrit
écriture         écritur
écritures        écritur
écrivailleur         écrivailleur
écrivailleurs        écrivailleur
écrivain         écrivain
écrivains        écrivain
écrivais         écriv
écrivait         écriv
écrivant         écriv
écrivante        écriv
écrive           écriv
écrivez          écriv
écrivirent         écriv
